Code,Class,Sub_Class,Ward_No,Rd_ID,Rd_Name,Locality,Colony,No_floors,Cons_type,Area,Descr,Bldg_Id,SHEET_ID,Shape_Leng,Shape_Le_1,Shape_Length,Shape_Area,height_m
A,6,House,66,RD_5653,Kunnumal temple road,vellayil, ,2,P,0.000000000000000, ,BL_160527,415,38.991897709200003,38.991897709200003,38.991897709165116,94.768509233511622,7.0000000
A,6,House,66,RD_2468A, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_129792,365,28.744013487099998,28.744013487099998,28.744013487060485,51.528495135692950,3.5000000
A,6,House,67,RD_5154A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_129796,365,27.608571929200000,27.608571929200000,27.608571929202284,45.951302342837749,7.0000000
A,6,House,68,RD_2468, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_129798,365,47.542888444500001,47.542888444500001,47.542888444487730,136.986482963929859,3.5000000
A,6,House,66,RD_2468A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_129807,365,40.118417114600000,40.118417114600000,40.118417114597342,89.569933739468084,7.0000000
A,6,House,67,RD_5154A, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_129810,365,59.554530077400003,59.554530077400003,59.554530077431430,217.725249595929313,3.5000000
A,6,House,68,RD_2468, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_129818,365,48.522655263399997,48.522655263399997,48.522655263392778,117.485499989152913,3.5000000
A,6,House,66,RD_2468A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_129827,365,51.145775029399999,51.145775029399999,51.145775029439697,152.866035830167704,7.0000000
A,6,House,68,RD_2468A, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_129833,365,39.149000000199997,39.149000000199997,39.149000000208616,90.558292541559425,3.5000000
145,16,Temple,65,RD_2468, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_129837,365,40.322403117999997,40.322403117999997,40.322403117953378,89.560220117391751,3.5000000
A,6,House,65,RD_5385, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,2,P,0.000000000000000, ,BL_131335,365,31.453331262900001,31.453331262900001,31.453331262907810,60.756103113197348,7.0000000
A,6,House,65,RD_5385, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,1,P,0.000000000000000, ,BL_131483,365,33.779923334000003,33.779923334000003,33.779923334002753,69.267581062711344,3.5000000
A,6,House,65,RD_5385, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,1,P,0.000000000000000, ,BL_131484,365,43.599904611900001,43.599904611900001,43.599904611875097,118.805094697705982,3.5000000
A,6,House,65,RD_5385, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,1,P,0.000000000000000, ,BL_131487,365,34.467923757800001,34.467923757800001,34.467923757795695,73.618221738201697,3.5000000
A,6,House,65,RD_5385, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,2,P,0.000000000000000, ,BL_131573,365,50.370888092000001,50.370888092000001,50.370888092045178,157.523689823545851,7.0000000
A,6,House,67,RD_5154A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_131859,365,70.042496510199996,70.042496510199996,70.042496510233690,301.713803412754146,7.0000000
A,6,House,67,RD_5154A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_131860,365,43.145864083200003,43.145864083200003,43.145864083189927,114.401590171584871,7.0000000
A,6,House,67,RD_5154A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_131861,365,36.622822689899998,36.622822689899998,36.622822689929443,74.433145031175215,7.0000000
A,6,House,67,RD_5212B, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_131866,365,29.955880265000001,29.955880265000001,29.955880264964982,54.183045604747306,3.5000000
A,6,House,67,RD_5212B, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_131895,365,56.902059939200001,56.902059939200001,56.902059939233894,201.714410523834630,3.5000000
A,6,House,67,RD_5212B, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_131904,365,27.978180684600002,27.978180684600002,27.978180684594239,46.359560676275656,3.5000000
